Reference,Value,Count,Mfg_Part_No,Vmax,
C1,10uF,1,T494D106M025AT,,
"C10, C11",22pF,2,CL31C220JCCNNNC,,
"C3, C13, C5, C2, C8, C12",0.1uF,6,C1206C104K5RACTU,,
C4,0.1uF,1,GRM43DR72J104KW01L,,
C6,"100uF,35V",1,TAJE107K020RNJ,,
C7,"10uF,250V",1,EEV-EB2E100Q,250V,
C9,"100nF,250V",1,ECW-U2104V16 ,250V,
D1,ES2F,1,ES2F-E3/52T,,
IC1,ATMEG328PU,1,ATMEGA328P-PU,,
J2,COMM_BUS,1,XG4A-1034,,
JP1,USB_PWR,1,M20-9990246,,
L1,100uH,1,B82479-A1-104M,,
"LED2, LED1","+12V, +5V",2,APL3015SGC-F01,,
P1,FTDI_USB,1,PRPC006SBAN-M71RC,,
P2,ISP,1,M20-9980346,,
P3,POWER,1,OSTTC032162,,
P4,VOUT,1,5-1814400-1,,
P5,LIGHT,1,705430036,,
P6,MAGNET,1,705430037,,
Q1,IRF644PBF,1,IRF644PBF,250V,
Q2,P16NF06,1,STP16NF06,,
R1,1k,1,RMCF1206FT1K00,,
R10,4.75k,1,RC1206FR-074K75L,,
"R12, R11",374,2,RC1206FR-07374RL,,
R14,5.1,1,RC1206FR-075R1L,,
R16,100k,1,RMCF1206FT100K,,
"R17, R15",51k,2,RC1206FR-0751KL,,
R18,10k,1,55J10KE,,
R19,1Meg,1,RMCF1206FT1M00,,
R2,2k,1,RMCF1206FT2K00,,
"R20, R7",10k,2,RMCF1206FT10K0,,
"R3, R4, R13",5.1k,3,RMCF1206JT5K10,,
R5,50m,1,ERJ-L1WKF50MU,,
"R6, R8",2M,2,HVCB1206KDL2M00,,
R9,39k,1,RC1206FR-0739KL,,
SW1,RESET,1,PTS645SK43 LFS,,
U1,HV513,1,HV513WG-G,250V,
U2,MAX1771,1,MAX1771ESA+ ,,
U3,MCP41050,1,MCP41050-I/SN ,,
U4,HV7802,1, HV7802MG-G,,
U5,AQW216,1,AQW216EHA,,
X1,16MHz,1,HC49US-16.000MABJ-UB,,
,,,,,
Q1 alternatives,,,Part number,Max voltage,Price
,,,STP33N65M2,650V,4.53
,,,,,
C9 alternatives,,,,,
3.3uF,,,EEV-EB2G3R3Q,400V,3.58
10uF,,,EEV-EB2V100SM,350V,4.53
,,,,,
C7 alternatives,,,,,
0.1uF (2824 package),,,LDEME3100JA5N00,400V,2.94
